AcademicYear,LevelOfStudy,ProgrammeCategory,Sex,Headcount
2019/20,Sub-degree,Engineering and Technology,F,118
2019/20,Sub-degree,Sciences,M,70
2019/20,Sub-degree,Sciences,F,39
2019/20,Sub-degree,Social Sciences,M,7
2019/20,Sub-degree,Social Sciences,F,15
2019/20,Undergraduate,Arts and Humanities,M,893
2019/20,Undergraduate,Arts and Humanities,F,2316
2019/20,Undergraduate,Business and Management,M,1902
2019/20,Undergraduate,Business and Management,F,2814
2019/20,Undergraduate,Education,M,232
2019/20,Undergraduate,Education,F,842
2019/20,Undergraduate,Engineering and Technology,M,2704
2019/20,Undergraduate,Engineering and Technology,F,1233
2019/20,Undergraduate,"Medicine, Dentistry and Health",M,742
2019/20,Undergraduate,"Medicine, Dentistry and Health",F,1235
2019/20,Undergraduate,Sciences,M,2061
2019/20,Undergraduate,Sciences,F,1361
2019/20,Undergraduate,Social Sciences,M,1147
2019/20,Undergraduate,Social Sciences,F,2055
2019/20,Taught Postgraduate,Arts and Humanities,M,25
2019/20,Taught Postgraduate,Arts and Humanities,F,57
2019/20,Taught Postgraduate,Education,M,380
2019/20,Taught Postgraduate,Education,F,755
2019/20,Taught Postgraduate,Engineering and Technology,M,63
2019/20,Taught Postgraduate,Engineering and Technology,F,71
2019/20,Taught Postgraduate,"Medicine, Dentistry and Health",M,7
2019/20,Taught Postgraduate,"Medicine, Dentistry and Health",F,22
2019/20,Taught Postgraduate,Sciences,M,26
2019/20,Taught Postgraduate,Sciences,F,50
2019/20,Taught Postgraduate,Social Sciences,M,110
2019/20,Taught Postgraduate,Social Sciences,F,151
2019/20,Research Postgraduate,Arts and Humanities,M,101
2019/20,Research Postgraduate,Arts and Humanities,F,127
2019/20,Research Postgraduate,Business and Management,M,79
2019/20,Research Postgraduate,Business and Management,F,76
2019/20,Research Postgraduate,Education,M,24
2019/20,Research Postgraduate,Education,F,48
2019/20,Research Postgraduate,Engineering and Technology,M,556
2019/20,Research Postgraduate,Engineering and Technology,F,228
2019/20,Research Postgraduate,"Medicine, Dentistry and Health",M,145
2019/20,Research Postgraduate,"Medicine, Dentistry and Health",F,234
2019/20,Research Postgraduate,Sciences,M,473
2019/20,Research Postgraduate,Sciences,F,236
2019/20,Research Postgraduate,Social Sciences,M,97
2019/20,Research Postgraduate,Social Sciences,F,135
2020/21,Sub-degree,Arts and Humanities,M,12
2020/21,Sub-degree,Arts and Humanities,F,59
2020/21,Sub-degree,Education,M,299
2020/21,Sub-degree,Education,F,1046
2020/21,Sub-degree,Engineering and Technology,M,331
2020/21,Sub-degree,Engineering and Technology,F,91
2020/21,Sub-degree,Sciences,M,76
2020/21,Sub-degree,Sciences,F,62
2020/21,Sub-degree,Social Sciences,M,12
2020/21,Sub-degree,Social Sciences,F,14
2020/21,Undergraduate,Arts and Humanities,M,918
2020/21,Undergraduate,Arts and Humanities,F,2300
2020/21,Undergraduate,Business and Management,M,1959
2020/21,Undergraduate,Business and Management,F,2820
2020/21,Undergraduate,Education,M,265
2020/21,Undergraduate,Education,F,869
2020/21,Undergraduate,Engineering and Technology,M,2829
2020/21,Undergraduate,Engineering and Technology,F,1228
2020/21,Undergraduate,"Medicine, Dentistry and Health",M,817
2020/21,Undergraduate,"Medicine, Dentistry and Health",F,1217
2020/21,Undergraduate,Sciences,M,2251
2020/21,Undergraduate,Sciences,F,1379
2020/21,Undergraduate,Social Sciences,M,1314
2020/21,Undergraduate,Social Sciences,F,2164
2020/21,Taught Postgraduate,Arts and Humanities,M,23
2020/21,Taught Postgraduate,Arts and Humanities,F,42
2020/21,Taught Postgraduate,Business and Management,M,2
2020/21,Taught Postgraduate,Business and Management,F,1
2020/21,Taught Postgraduate,Education,M,383
2020/21,Taught Postgraduate,Education,F,712
2020/21,Taught Postgraduate,Engineering and Technology,M,76
2020/21,Taught Postgraduate,Engineering and Technology,F,70
2020/21,Taught Postgraduate,"Medicine, Dentistry and Health",M,18
2020/21,Taught Postgraduate,"Medicine, Dentistry and Health",F,60
2020/21,Taught Postgraduate,Sciences,M,20
2020/21,Taught Postgraduate,Sciences,F,37
2020/21,Taught Postgraduate,Social Sciences,M,125
2020/21,Taught Postgraduate,Social Sciences,F,146
2020/21,Research Postgraduate,Arts and Humanities,M,108
2020/21,Research Postgraduate,Arts and Humanities,F,123
2020/21,Research Postgraduate,Business and Management,M,62
2020/21,Research Postgraduate,Business and Management,F,95
2020/21,Research Postgraduate,Education,M,24
2020/21,Research Postgraduate,Education,F,46
2020/21,Research Postgraduate,Engineering and Technology,M,568
2020/21,Research Postgraduate,Engineering and Technology,F,270
2020/21,Research Postgraduate,"Medicine, Dentistry and Health",M,178
2020/21,Research Postgraduate,"Medicine, Dentistry and Health",F,237
2020/21,Research Postgraduate,Sciences,M,554
2020/21,Research Postgraduate,Sciences,F,286
2020/21,Research Postgraduate,Social Sciences,M,114
2020/21,Research Postgraduate,Social Sciences,F,145
